driveName,type,diskCapacity,diskMark,rank,price,driveValue,priceperGB,testDate,samples
Seagate FireCuda 510 SSD ZP1000GM30001,SSD,931.5,22699,304,,,,2019,72
ESR512GTLCG-EAC-4,SSD,476.9,22698,305,,,,2020,54
SK hynix BC711 HFM512GD3JX013N,SSD,476.9,22679,306,,,,2021,65
Samsung SSD PM981a NVMe 512GB,SSD,476.9,22667,307,,,,2019,1902
Force MP600,SSD,931.5,22657,308,,,,2020,16
NVMe KXG60PNV2T04 NVM,SSD,1900,22612,309,,,,2021,5
KXG60PNV512G NVMe TOSHIBA 512GB,SSD,476.9,22561,310,,,,2019,2
MSI M450 500GB,SSD,465.8,22548,311,,,,2022,4
Samsung SSD 980 NVMe 1TB,SSD,931.5,22534,312,,,,2020,1439
Samsung SSD 970 PRO 512GB,SSD,476.9,22533,313,224.9,100.19,0.47,2018,1162
Acer SSD FA100 1TB,SSD,953.9,22517,314,,,,2021,16
NVMe ESR512GTLCG-EAC-,SSD,476.9,22503,315,,,,2021,29
NVMe CT500P5SSD8,SSD,465.8,22502,316,,,,2020,20
Samsung SSD 970,SSD,931.5,22495,317,,,,2020,22
Seagate FireCuda 510 SSD ZP500GM30001,SSD,465.8,22459,318,,,,2019,34
PC SN730 NVMe WDC 1024GB,SSD,953.9,22417,319,,,,2020,189
NVMe HFM512GD3JX013N,SSD,476.9,22374,320,,,,2021,153
NVMe Sabrent Rocket Q,SSD,1800,22326,321,,,,2020,12
HFM512GD3JX016N,SSD,476.9,22285,322,,,,2021,48
NVMe SHGP31-1000GM-2,SSD,931.5,22283,323,,,,2021,7
KINGSTON SKC2500M81000G,SSD,931.5,22276,324,,,,2020,78
NVMe KXG60ZNV1T02 NVMe KIOXIA 1024GB,SSD,953.9,22275,325,,,,2021,64
GIGABYTE GP-ASM2NE6500GTTD,SSD,465.8,22232,326,95.27,233.35,0.2,2019,200
SAMSUNG MZVLB2T0HALB-000L2,SSD,1900,22186,327,,,,2021,5
PM981a NVMe SED Samsung 256GB,SSD,238.5,22174,328,,,,2022,14
SanDisk Extreme Pro 1TB,SSD,931.5,22126,329,189.99,116.46,0.2,2019,37
E12S-512G-PHISON-SSD-B27B-09,SSD,476.9,22096,330,,,,2021,7
UMIS RPIRJ512VME2OWD,SSD,476.9,22093,331,,,,2020,26
NVMe WDBRPG5000ANC-WR,SSD,465.8,22082,332,,,,2019,16
WDBRPG5000ANC-WRSN,SSD,465.8,22049,333,,,,2019,309
SK hynix PC601 HFS001TD9TNG-L2A0A,SSD,953.9,22044,334,,,,2020,24
XPG GAMMIX S7,SSD,953.9,22025,335,,,,2021,11
WDC PC SN720 SDAQNTX-2T00,SSD,1900,22016,336,,,,2020,8
SKHynix HFS512GD9TNI-L2A0B,SSD,476.9,22002,337,,,,2020,131
imation M.2 PCIe 512GB SSD X931,SSD,476.9,21981,338,,,,2019,1
KINGSTON SKC2500M8500G,SSD,465.8,21979,339,,,,2020,133
Samsung SSD 970 EVO Plus 500GB,SSD,465.8,21917,340,109.99,199.26,0.24,2019,6505
EX-1TB PRO,SSD,953.9,21908,341,,,,2021,4
NVMe SAMSUNG MZVLB1T0,SSD,953.9,21905,342,,,,2018,68
